feature,importance,feature_zh,model
roa,0.7969906229070212,总资产收益率,LogisticRegression
cashflow,0.425698460890195,经营现金流/总资产,LogisticRegression
current_loss,0.3235432623426494,当年亏损标记,LogisticRegression
size,0.24495700904232573,企业规模,LogisticRegression
bm,0.24464641237252194,账面市值比,LogisticRegression
lev,0.21633429689307573,资产负债率,LogisticRegression
growth,0.14013317834395403,营业收入增长率,LogisticRegression
net_margin,0.1205649751382558,销售净利率,LogisticRegression
sigma,0.08823890608400686,收益波动率,LogisticRegression
tangibility,0.0854515135124597,固定资产占比,LogisticRegression
ret,0.0741708718934057,年度股票收益率,LogisticRegression
turnover,0.013654948410676281,换手率,LogisticRegression
current_loss,0.3375968337059021,当年亏损标记,XGBoost
roa,0.2445872277021408,总资产收益率,XGBoost
net_margin,0.05452035367488861,销售净利率,XGBoost
growth,0.04902641847729683,营业收入增长率,XGBoost
cashflow,0.047428105026483536,经营现金流/总资产,XGBoost
size,0.04311267286539078,企业规模,XGBoost
tangibility,0.04207748547196388,固定资产占比,XGBoost
lev,0.03794986754655838,资产负债率,XGBoost
sigma,0.03707103058695793,收益波动率,XGBoost
bm,0.036873504519462585,账面市值比,XGBoost
turnover,0.03527504578232765,换手率,XGBoost
ret,0.034481436014175415,年度股票收益率,XGBoost
