candidate,subsample,reg_lambda,reg_alpha,n_estimators,min_child_weight,max_depth,learning_rate,colsample_bytree,mean_roc_auc,mean_pr_auc,auc_2021,pr_auc_2021,auc_2022,pr_auc_2022
35,0.9,3.0,0.0,400,3,2,0.02,0.75,0.8281196667094837,0.6565794303897179,0.7956286721504114,0.5837161108162409,0.860610661268556,0.729442749963195
10,0.9,3.0,0.1,250,3,3,0.02,0.9,0.827453199657147,0.6597989729759764,0.7918918918918919,0.5844466740662001,0.8630145074224023,0.7351512718857528
15,0.9,6.0,0.1,550,10,2,0.02,0.9,0.8271753620809685,0.6593985720364399,0.7961692126909519,0.5862334960057846,0.8581815114709852,0.7325636480670952
31,0.75,3.0,0.0,400,10,3,0.02,0.9,0.82555857124507,0.6602564709933934,0.7930199764982373,0.5873415477758456,0.8580971659919028,0.733171394210941
20,0.75,6.0,0.0,700,6,2,0.02,0.75,0.8253084695547511,0.6582849131682582,0.7949236192714454,0.5878507285744089,0.8556933198380569,0.7287190977621076
11,0.75,6.0,0.5,400,3,4,0.02,0.75,0.8234852701671924,0.6438067139605501,0.7899529964747356,0.5717104448568626,0.8570175438596491,0.7159029830642377
24,0.9,3.0,0.5,250,3,4,0.02,0.9,0.822586996761768,0.6459177910901679,0.7861574618096357,0.5756304425442441,0.8590165317139002,0.7162051396360916
12,0.75,3.0,0.5,250,10,4,0.04,0.75,0.8213691382369872,0.6412373105579631,0.7902585193889542,0.5786928065733528,0.8524797570850203,0.7037818145425734
13,0.75,1.5,0.1,550,6,3,0.02,0.75,0.82093131582119,0.6543724615970595,0.7878730904817862,0.577422482275374,0.8539895411605939,0.7313224409187451
33,0.9,3.0,0.1,400,3,4,0.02,0.75,0.8190228700140028,0.642793636385605,0.7829259694477086,0.570863386118716,0.8551197705802969,0.7147238866524941
1,0.75,1.5,0.1,250,10,4,0.04,0.9,0.8177673434524121,0.6411414930077335,0.786909518213866,0.5767280461779133,0.8486251686909582,0.7055549398375537
6,0.9,3.0,0.5,250,3,4,0.04,0.75,0.8176824181601069,0.6427002904875814,0.7819741480611045,0.5691337865173919,0.8533906882591092,0.716266794457771
36,0.75,3.0,0.5,700,6,3,0.02,0.9,0.8176288979306714,0.6485670301629494,0.7828202115158636,0.5673840142805473,0.8524375843454792,0.7297500460453514
34,0.9,1.5,0.0,250,10,2,0.07,0.9,0.8169422890589938,0.6474081256611683,0.7845593419506462,0.5751470580994078,0.8493252361673413,0.7196691932229288
17,0.9,3.0,0.0,250,10,4,0.04,0.9,0.8162300841591459,0.6396793608361768,0.7812455934195065,0.5659700476542072,0.8512145748987854,0.7133886740181463
23,0.9,1.5,0.5,550,6,2,0.04,0.75,0.8128339407000734,0.6420858745984398,0.7796827262044653,0.5684386326601453,0.8459851551956815,0.7157331165367343
30,0.9,1.5,0.0,400,6,3,0.04,0.75,0.8123952391486715,0.6447076414852491,0.7800705052878966,0.5728230660893763,0.8447199730094466,0.7165922168811217
28,0.9,3.0,0.0,700,3,4,0.02,0.9,0.8116701118474574,0.6362566779635491,0.7744535840188015,0.5678202526277057,0.8488866396761133,0.7046931032993925
3,0.75,3.0,0.5,700,10,2,0.04,0.75,0.8092406914703825,0.6404253940891167,0.772150411280846,0.5683639304516561,0.8463309716599189,0.7124868577265773
25,0.9,3.0,0.0,250,3,3,0.07,0.75,0.8071593810409601,0.6348025937445265,0.7727027027027027,0.5667131401667712,0.8416160593792174,0.7028920473222817
32,0.75,3.0,0.5,400,6,4,0.04,0.75,0.8063244767606896,0.6200179164181012,0.773689776733255,0.5509397919053958,0.8389591767881242,0.6890960409308068
18,0.9,3.0,0.0,550,6,3,0.04,0.9,0.8062914789459412,0.6346875091744719,0.7761457109283197,0.5680234496754977,0.8364372469635628,0.7013515686734462
27,0.9,3.0,0.1,550,3,3,0.04,0.9,0.8058127940693731,0.6351263550095123,0.7708108108108108,0.5655472596563127,0.8408147773279353,0.7047054503627119
4,0.75,6.0,0.5,700,10,4,0.04,0.75,0.8038624233060732,0.6219018356948214,0.7743830787309047,0.5629306601079093,0.8333417678812416,0.6808730112817336
26,0.9,6.0,0.1,400,3,3,0.07,0.9,0.8034816198217227,0.6200719058590425,0.7714453584018801,0.5571788603244139,0.8355178812415655,0.6829649513936711
5,0.75,3.0,0.5,550,3,4,0.04,0.75,0.8030255684746531,0.6202518952000838,0.7703055229142186,0.5569323864999102,0.8357456140350876,0.6835714039002575
21,0.9,6.0,0.1,400,10,3,0.07,0.75,0.8019188685693263,0.6235633678928596,0.7693066980023502,0.5539591658876046,0.8345310391363023,0.6931675698981145
8,0.75,3.0,0.5,700,3,4,0.04,0.9,0.8011732347115642,0.6173599891443329,0.7686251468860164,0.5522327279504344,0.8337213225371121,0.6824872503382312
7,0.75,6.0,0.1,400,6,4,0.07,0.9,0.80117290268177,0.6163784726739281,0.7722091656874266,0.5583023161787346,0.8301366396761134,0.6744546291691217
14,0.75,1.5,0.1,550,10,2,0.07,0.75,0.7981971495787284,0.6239043946901701,0.7656756756756756,0.5575953884920953,0.8307186234817813,0.690213400888245
29,0.9,3.0,0.1,700,6,4,0.04,0.75,0.7980662594692916,0.6180176755430549,0.7643595769682727,0.554887529206486,0.8317729419703104,0.6811478218796239
2,0.9,3.0,0.5,550,3,3,0.07,0.9,0.7969803525581558,0.6167518482084648,0.7672737955346651,0.558516516145953,0.8266869095816464,0.6749871802709768
22,0.75,3.0,0.5,700,6,2,0.07,0.9,0.7966015333235015,0.6230860454119979,0.7645593419506465,0.5514790054880364,0.8286437246963564,0.6946930853359593
16,0.75,1.5,0.1,700,10,2,0.07,0.9,0.794969962701656,0.6172914937727305,0.7612455934195064,0.5484755660004033,0.8286943319838056,0.6861074215450577
19,0.9,3.0,0.1,700,3,4,0.07,0.9,0.7902424372533068,0.6029788209362289,0.7615746180963572,0.5500366334157468,0.8189102564102565,0.655921008456711
9,0.75,1.5,0.0,700,6,3,0.07,0.75,0.7865343047236639,0.6021515708937353,0.7530787309048178,0.5359390861329189,0.8199898785425102,0.6683640556545517
