candidate,subsample,reg_lambda,reg_alpha,n_estimators,min_child_weight,max_depth,learning_rate,colsample_bytree,mean_roc_auc,mean_pr_auc,auc_2021,pr_auc_2021,auc_2022,pr_auc_2022
10,0.9,3.0,0.1,250,3,3,0.02,0.9,0.8318050347967152,0.6626291418124148,0.7970340215178833,0.6062364634765682,0.8665760480755472,0.7190218201482613
15,0.9,6.0,0.1,550,10,2,0.02,0.9,0.8302233431513065,0.6621815130639422,0.7968038189396142,0.603206189586336,0.8636428673629989,0.7211568365415485
35,0.9,3.0,0.0,400,3,2,0.02,0.75,0.8300936629665197,0.6620757073845518,0.7941746631772804,0.6017311156784102,0.866012662755759,0.7224202990906935
11,0.75,6.0,0.5,400,3,4,0.02,0.75,0.8294548530221261,0.668900542143818,0.7965009208103131,0.6022393678369289,0.862408785233939,0.7355617164507071
24,0.9,3.0,0.5,250,3,4,0.02,0.9,0.8288677975288796,0.6635046181680305,0.7931448095376563,0.5999993488332257,0.864590785520103,0.7270098875028354
20,0.75,6.0,0.0,700,6,2,0.02,0.75,0.8280061357791048,0.6688713369051245,0.7938717650479791,0.6037534530110513,0.8621405065102304,0.7339892207991975
31,0.75,3.0,0.0,400,10,3,0.02,0.9,0.8279434008915518,0.6640259302985286,0.7955437627217214,0.6033302186907549,0.8603430390613821,0.7247216419063024
33,0.9,3.0,0.1,400,3,4,0.02,0.75,0.8277065388016864,0.670385729093204,0.7897402345643115,0.598778489177979,0.8656728430390614,0.7419929690084291
13,0.75,1.5,0.1,550,6,3,0.02,0.75,0.8266144014362675,0.6731305055066035,0.793350780265581,0.6059224058215517,0.8598780226069539,0.7403386051916554
1,0.75,1.5,0.1,250,10,4,0.04,0.9,0.826488910858314,0.6710399868516003,0.7921876514490647,0.6014033734465339,0.8607901702675634,0.7406766002566666
12,0.75,3.0,0.5,250,10,4,0.04,0.75,0.8253282467458486,0.6653294576214547,0.7926117088300861,0.6058648326158688,0.858044784661611,0.7247940826270406
6,0.9,3.0,0.5,250,3,4,0.04,0.75,0.8250925426811678,0.6580494016802074,0.7877047591354077,0.5894198108596065,0.8624803262269279,0.7266789925008083
36,0.75,3.0,0.5,700,6,3,0.02,0.9,0.824521969110739,0.6727883626954216,0.7928055636328389,0.6070205492427247,0.8562383745886392,0.7385561761481184
30,0.9,1.5,0.0,400,6,3,0.04,0.75,0.8239765864886087,0.6723376152980336,0.7870020354754289,0.5974144205763984,0.8609511375017885,0.7472608100196689
34,0.9,1.5,0.0,250,10,2,0.07,0.9,0.8220517653067665,0.6595315445188012,0.7884195987205582,0.5960944234176959,0.8556839318929746,0.7229686656199066
32,0.75,3.0,0.5,400,6,4,0.04,0.75,0.8210897246164797,0.6657838609854733,0.7911456818842686,0.6023552963842784,0.8510337673486909,0.7292124255866681
25,0.9,3.0,0.0,250,3,3,0.07,0.75,0.8207562064290423,0.6663908034829846,0.7814287098962877,0.5909731016513691,0.8600837029617971,0.7418085053146001
28,0.9,3.0,0.0,700,3,4,0.02,0.9,0.8205472145208925,0.6626178500659561,0.7827008820393525,0.5896097790671165,0.8583935470024324,0.7356259210647955
